Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;
m_density_ratio_maximum;3.68640000000188817e-01;5.69691602096927194e-02;6.17796684047421454e-02;6.50519004975786685e-02;6.53515858088705576e-02;6.07855520027306140e-02;4.91730642493306280e-02;5.61631905283230953e-02;6.44015973206846365e-02;7.16591546049355627e-02;7.74923924946459564e-02;8.11042731872267386e-02;8.08784596138631962e-02;7.50768982098494464e-02;6.28386582514365855e-02;6.09118541802912139e-02;6.91875289781276881e-02;7.37147901910623626e-02;7.58112385904800290e-02;7.46641608512726429e-02;6.94222711903200868e-02;5.94455180771875855e-02;5.63248007140863816e-02;6.36322840894633784e-02;6.90468746317125376e-02;7.16853819384703356e-02;7.07490377956099398e-02;6.60076950409590330e-02;5.75044383173715853e-02;5.24934479350656763e-02;5.98543831523160874e-02;6.53457247947566849e-02;6.85232255134132495e-02;6.85918879345115140e-02;6.50776535843452381e-02;5.80581131166418296e-02;4.96472588896828340e-02;5.65173817829080841e-02;6.22309396653096189e-02;6.60283906670195986e-02;6.71267434290503118e-02;6.49559831330793341e-02;5.89169542938936738e-02;5.00113165721778885e-02;5.37664758244788960e-02;5.98214426078466713e-02;6.42837291060052440e-02;6.63614823377992047e-02;6.49638971928530873e-02;
new_dt;1.00000000000000005e-04;1.10000000000000017e-04;1.21000000000000027e-04;1.33100000000000037e-04;1.46410000000000057e-04;1.59915721893827216e-04;1.52397295569875132e-04;1.48338871531782373e-04;1.46914297123023583e-04;1.47431980663751788e-04;1.49333275618214885e-04;1.52166236588890426e-04;1.55414265945930384e-04;1.58548446305172426e-04;1.61112880347453043e-04;1.59895757522511935e-04;1.56215015050706688e-04;1.55152310045682034e-04;1.55786603792282003e-04;1.57397580482071493e-04;1.59429336745097974e-04;1.59459241876405033e-04;1.58427355235513822e-04;1.57703667545544128e-04;1.57331499931766478e-04;1.57308770164031337e-04;1.57543479105187712e-04;1.57967062260024868e-04;1.58509901197827582e-04;1.58918460956610473e-04;1.58415896850656450e-04;1.58252468065428378e-04;1.58387125039671176e-04;1.58758002607693440e-04;1.59299155426713201e-04;1.58768909898388347e-04;1.58342363008146962e-04;1.58194427876787695e-04;1.58320893832668459e-04;1.58677022395373234e-04;1.59209501010305210e-04;1.58724020932652239e-04;1.58379363007848684e-04;1.58268367482349926e-04;1.58410217109574672e-04;1.58789973936237106e-04;1.59373842829296406e-04;1.59058823809156208e-04;1.58688991686190640e-04;
