Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;
m_density_ratio_maximum;3.68640000000121371e-01;5.59253145866857732e-02;5.81211581353569470e-02;5.83762139944134714e-02;5.57970268647767081e-02;4.95516081106024131e-02;4.81643532044330330e-02;6.23669074727671788e-02;7.64038502689046300e-02;8.26697944523408362e-02;8.09134049191654742e-02;7.48873910756209932e-02;6.46775884256906436e-02;6.81244352352839144e-02;7.35978200279180095e-02;7.45263503001758615e-02;7.05195298888781907e-02;6.22857955293708299e-02;6.30345907921270043e-02;6.73552272345830511e-02;6.81853097952420523e-02;6.54406071920314025e-02;5.95890341439296173e-02;5.74104898142733452e-02;6.21127969655687062e-02;6.42386940814665131e-02;6.34155138808079333e-02;5.93162795379420307e-02;5.36335704040784358e-02;5.86535646154813725e-02;6.14998433138805589e-02;6.17284547038554066e-02;5.92328364387090939e-02;5.41292470867051415e-02;5.56572675360613445e-02;5.92205239582051582e-02;6.04793133024624022e-02;5.91870218323380867e-02;
new_dt;1.00000000000000005e-04;1.10000000000000017e-04;1.21000000000000027e-04;1.33100000000000037e-04;1.46410000000000057e-04;1.61051000000000081e-04;1.77156100000000098e-04;1.94871710000000116e-04;2.01840174340117896e-04;2.02437870245804482e-04;2.04726960004112112e-04;2.07826425827414818e-04;2.11009581931850078e-04;2.13761610725558344e-04;2.15794599842780808e-04;2.17018408346610813e-04;2.17488999494249764e-04;2.17355836611413334e-04;2.16839378488777431e-04;2.16208815624050138e-04;2.15655088523326210e-04;2.15294015616280529e-04;2.15179516464428781e-04;2.15320317616846390e-04;2.15719640927159801e-04;2.16374801751764858e-04;2.15917588660347477e-04;2.15562783358118777e-04;2.15396182444943995e-04;2.15372166992114172e-04;2.15476633112671889e-04;2.15743812302710594e-04;2.15466248901869642e-04;2.15174663294315547e-04;2.15117726968945837e-04;2.15260233294597422e-04;2.15627029827138888e-04;2.16054194987379245e-04;
