Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;
m_density_ratio_maximum;2.30400000000541907e-02;2.46603904281842172e-03;2.96673557998895212e-03;3.56994802424883675e-03;4.29662053821595457e-03;5.17191517341494388e-03;6.22602692890393897e-03;7.49513581273749882e-03;9.02250441013587035e-03;1.08597168259925644e-02;1.30680277862866897e-02;1.57197354622106641e-02;1.88993814255908645e-02;2.27043632078372665e-02;2.72441144866631610e-02;3.26361574926505374e-02;3.89956545245275510e-02;4.64118021269608882e-02;5.48981320876200454e-02;6.42924381935846417e-02;7.40643391236074089e-02;7.61089552680457027e-02;7.07571944609391712e-02;6.32441173136507190e-02;
new_dt;1.00000000000000005e-04;1.10000000000000017e-04;1.21000000000000027e-04;1.33100000000000037e-04;1.46410000000000057e-04;1.61051000000000081e-04;1.77156100000000098e-04;1.94871710000000116e-04;2.14358881000000135e-04;2.35794769100000157e-04;2.59374246010000173e-04;2.85311670611000223e-04;3.13842837672100245e-04;3.45227121439310302e-04;3.79749833583241359e-04;4.17724816941565517e-04;4.59497298635722117e-04;5.05447028499294410e-04;5.55991731349223949e-04;6.11590904484146398e-04;6.15440948842162910e-04;5.80673046564418203e-04;5.49557302815706101e-04;5.22863870029112703e-04;
